,index,id,conversation_id,created_at,date,timezone,place,tweet,language,hashtags,cashtags,user_id,user_id_str,username,name,day,hour,link,urls,photos,video,thumbnail,retweet,nlikes,nreplies,nretweets,quote_url,search,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest,clean_tweet,Sentiment
0,19,1448225723915939841,1448225723915939841,1634118893000.0,2021-10-13 11:54:53,+0200,,How about someone who is obsessed with movies and series more than anyone in this world and he loved squid game and casa del papel?  Can we stop judging?,en,[],[],530985163,530985163,exharryextagram,who cares,3,11,https://twitter.com/exharryextagram/status/1448225723915939841,[],[],0,,False,0,0,0,https://twitter.com/bratchni/status/1448220145550303232,"['Casa', 'Papel']",,,,,,,[],,,,,How about someone who is obsessed with movies and series more than anyone in this world and he loved squid game and casa del papel Can we stop judging,Positive
1,37,1448220251108388870,1448220251108388870,1634117589000.0,2021-10-13 11:33:09,+0200,,Fan of the show? Check out our la casa de papel supplies available at Alif Stores!   SHOP NOW 💻🛒 through   https://t.co/uxyNXzCAy9   #ALIF #ALIFStores #Doha  https://t.co/vgnqmOtS0T,en,"['alif', 'alifstores', 'doha']",[],1273745479185190917,1273745479185190917,alifstoresqa,alifstoresqa,3,11,https://twitter.com/alifstoresqa/status/1448220251108388870,['https://bit.ly/3oZNgg9'],['https://pbs.twimg.com/media/FBkcopsXMAs-tCK.jpg'],1,https://pbs.twimg.com/media/FBkcopsXMAs-tCK.jpg,False,0,0,0,,"['Casa', 'Papel']",,,,,,,[],,,,,Fan of the show Check out our la casa de papel supplies available at Alif Stores SHOP NOW through ALIF ALIFStores Doha,Positive
2,61,1448215670232006660,1448215670232006660,1634116496000.0,2021-10-13 11:14:56,+0200,,I NEED LA CASA DE PAPEL VOL 2 NOWWW,en,[],[],836914649886908416,836914649886908416,nubewn,nur,3,11,https://twitter.com/nubewn/status/1448215670232006660,[],[],0,,False,0,0,0,,"['Casa', 'Papel']",,,,,,,[],,,,,I NEED LA CASA DE PAPEL VOL 2 NOWWW,Neutral
3,68,1448213123710730241,1448212425044545540,1634115889000.0,2021-10-13 11:04:49,+0200,,"@vncrst_maud you, squid game, le jeu de la dame, american horror story, breaking bad, prison break, la casa de papel, baby",en,[],[],1009706729989427200,1009706729989427200,kimberley_lmr,Kim,3,11,https://twitter.com/kimberley_lmr/status/1448213123710730241,[],[],0,,False,1,1,0,,"['Casa', 'Papel']",,,,,,,"[{'screen_name': 'vncrst_maud', 'name': 'L I B R A', 'id': '1092881743982542848'}]",,,,,maud you squid game le jeu de la dame american horror story breaking bad prison break la casa de papel baby,Negative
4,71,1448212848723832832,1448212848723832832,1634115824000.0,2021-10-13 11:03:44,+0200,,"🎬 Netflix’in en çok izlenen 10 dizisi:  1- Squid Game, 110 milyon 2- Bridgerton, 82M 3- Lupin, 76M 4- The Witcher, 76M 5- Sex/Life, 67M 6- Stranger Things S3, 67M 7- La Casa de Papel S4, 65M 8- Tiger King, 64M 9- The Queen’s Gambit, 62M 10- Sweet Tooth, 60M  https://t.co/AT5qz91dMe",en,[],[],1409105171083366400,1409105171083366400,cizgikafecom,Çizgi Kafe,3,11,https://twitter.com/cizgikafecom/status/1448212848723832832,[],['https://pbs.twimg.com/media/FBkV5-lWQAA6eCc.jpg'],1,https://pbs.twimg.com/media/FBkV5-lWQAA6eCc.jpg,False,23,2,0,,"['Casa', 'Papel']",,,,,,,[],,,,,Netflix in en ok izlenen 10 dizisi 1 Squid Game 110 milyon 2 Bridgerton 82M 3 Lupin 76M 4 The Witcher 76M 5 Sex Life 67M 6 Stranger Things S3 67M 7 La Casa de Papel S4 65M 8 Tiger King 64M 9 The Queen s Gambit 62M 10 Sweet Tooth 60M,Positive
5,78,1448209230113148934,1448209230113148934,1634114961000.0,2021-10-13 10:49:21,+0200,,thank you la casa de papel &amp; elite for teaching me spanish 🛐,en,[],[],1281310657858752514,1281310657858752514,angelisswift,triz.🧣 mamma mia!!,3,10,https://twitter.com/angelisswift/status/1448209230113148934,[],[],0,,False,1,0,0,,"['Casa', 'Papel']",,,,,,,[],,,,,thank you la casa de papel amp elite for teaching me spanish,Neutral
6,81,1448208999632052227,1448207341216845825,1634114906000.0,2021-10-13 10:48:26,+0200,,@KevinCalcio True. But la casa de papel was bought after the first season was already out.,en,[],[],1066786306431307778,1066786306431307778,LuishoProd,G2 Luisho,3,10,https://twitter.com/LuishoProd/status/1448208999632052227,[],[],0,,False,0,0,0,,"['Casa', 'Papel']",,,,,,,"[{'screen_name': 'KevinCalcio', 'name': 'Kevin', 'id': '2186953082'}]",,,,,True But la casa de papel was bought after the first season was already out,Positive
7,91,1448207341216845825,1448207341216845825,1634114511000.0,2021-10-13 10:41:51,+0200,,"La casa de papel, Dark and now this. Netflix doing a fantastic job creating great non-English Series.",en,[],[],2186953082,2186953082,KevinCalcio,Kevin,3,10,https://twitter.com/KevinCalcio/status/1448207341216845825,[],[],0,,False,1,2,1,https://twitter.com/filmupdates/status/1448048270538801154,"['Casa', 'Papel']",,,,,,,[],,,,,La casa de papel Dark and now this Netflix doing a fantastic job creating great non English Series,Positive
8,104,1448204257249751055,1448199756040179714,1634113775000.0,2021-10-13 10:29:35,+0200,,@kkkkk2929 Bella Ciao Full Song | La Casa De Papel | Money Heist | Netflix India  https://t.co/ja4pMCl33t via @YouTube,en,[],[],1147735621,1147735621,crazy_cat420,TINA am 2:7🐟,3,10,https://twitter.com/crazy_cat420/status/1448204257249751055,['https://youtu.be/46cXFUzR9XM'],[],0,,False,1,0,0,,"['Casa', 'Papel']",,,,,,,"[{'screen_name': 'kkkkk2929', 'name': 'Kii©︎hi®︎', 'id': '739106203402264577'}]",,,,,Bella Ciao Full Song La Casa De Papel Money Heist Netflix India via,Positive
9,113,1448201906761895937,1448201906761895937,1634113215000.0,2021-10-13 10:20:15,+0200,,Finally got around to watching through some stuff on Netflix and I just watched La Casa del Papel s1 and s2 and tbh that was some pretty good stuff,en,[],[],1400194144304340993,1400194144304340993,SweetieBelleAER,Sweetie Belle,3,10,https://twitter.com/SweetieBelleAER/status/1448201906761895937,[],[],0,,False,2,1,0,,"['Casa', 'Papel']",,,,,,,[],,,,,Finally got around to watching through some stuff on Netflix and I just watched La Casa del Papel s1 and s2 and tbh that was some pretty good stuff,Positive
